account,account_epoch,actual_commissions,actual_fees,actual_total_cost,contract,evidence_valid,exclusion_reason,fill_id,gross_realized_pnl,included,order_id,order_id_observed,price,quantity,side,strategy_attribution,timestamp,validation_issues
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,2985449537,,True,3402786736,True,30197.25,1.0,0,unknown,2026-08-13T17:00:03.877460+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,2986054567,-2.5,True,3403419854,True,30196.0,1.0,1,unknown,2026-08-13T20:00:03.547819+00:00,[]
26556101,,0.5,0.72,1.22,CON.F.US.MNQ.U26,True,included,2990192366,,True,3407519214,False,30091.75,2.0,1,unknown,2026-08-14T16:21:45.525397+00:00,[]
26556101,,0.5,0.72,1.22,CON.F.US.MNQ.U26,True,included,2990438907,72.0,True,3408188342,False,30073.75,2.0,0,unknown,2026-08-14T17:22:41.910505+00:00,[]
26556101,,0.5,0.72,1.22,CON.F.US.MNQ.U26,True,included,2993086201,,True,3410754322,False,30260.5,2.0,1,unknown,2026-08-17T13:31:01.494718+00:00,[]
26556101,,0.5,0.72,1.22,CON.F.US.MNQ.U26,True,included,2994188745,235.0,True,3412298651,False,30201.75,2.0,0,unknown,2026-08-17T14:32:17.698322+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3019707693,,True,3440196079,True,29015.5,1.0,1,unknown,2026-08-24T14:00:04.094426+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3021632858,-175.0,True,3442305605,True,29103.0,1.0,0,unknown,2026-08-24T20:00:03.202262+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3036487941,,True,3458517705,True,29604.0,1.0,0,unknown,2026-08-27T16:30:03.757173+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3037243228,178.0,True,3459306848,True,29693.0,1.0,1,unknown,2026-08-27T20:00:03.324739+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3040932950,,True,3463323116,True,29791.75,1.0,0,unknown,2026-08-28T15:00:04.668493+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3041380426,-489.5,True,3463323140,True,29547.0,1.0,1,unknown,2026-08-28T15:57:23.855124+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3041595760,,True,3464030716,True,29497.25,1.0,1,unknown,2026-08-28T16:30:04.472247+00:00,[]
26556101,,0.25,0.36,0.61,CON.F.US.MNQ.U26,True,included,3042289379,-9.5,True,3464771398,True,29502.0,1.0,0,unknown,2026-08-28T20:00:02.925043+00:00,[]
