entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,ml_prediction,killzone_window,bars_held,stop_loss,target_price
2025-11-05 15:11:00+00:00,2025-11-05 15:21:00+00:00,25660.625,25644.75,bullish,-54.3,stop_loss,0.0,NY AM,10,25634.375,25716.75
2025-11-05 19:27:00+00:00,2025-11-05 19:28:00+00:00,25859.0,25855.5,bullish,-8.8,stop_loss,0.0,NY PM,1,25855.5,25867.75
2025-11-07 08:20:00+00:00,2025-11-07 08:21:00+00:00,25334.25,25324.75,bullish,-16.8,stop_loss,0.0,London AM,1,25326.75,25354.75
2025-11-10 09:03:00+00:00,2025-11-10 09:05:00+00:00,25518.375,25533.0,bullish,32.7,target,0.0,London AM,2,25512.625,25535.625
2025-11-10 15:45:00+00:00,2025-11-10 15:48:00+00:00,25626.0,25613.0,bullish,-31.8,stop_loss,0.0,NY AM,3,25611.0,25659.25
2025-11-11 08:23:00+00:00,2025-11-11 08:26:00+00:00,25651.875,25643.0,bullish,-15.3,stop_loss,0.0,London AM,3,25645.125,25672.125
2025-11-13 08:58:00+00:00,2025-11-13 09:03:00+00:00,25676.625,25672.5,bullish,-9.3,stop_loss,0.0,London AM,5,25672.875,25686.0
2025-11-14 19:50:00+00:00,2025-11-14 20:03:00+00:00,25203.0,25246.25,bullish,76.2,target,0.0,NY PM,13,25184.5,25242.0
2025-11-17 08:25:00+00:00,2025-11-17 08:26:00+00:00,25336.625,25346.75,bullish,25.45,target,0.0,London AM,1,25330.375,25350.25
2025-11-18 08:44:00+00:00,2025-11-18 08:45:00+00:00,24826.0,24819.5,bullish,-20.8,stop_loss,0.0,London AM,1,24816.5,24854.5
2025-11-18 19:01:00+00:00,2025-11-18 19:41:00+00:00,24715.0,24796.75,bullish,174.2,target,0.0,NY PM,40,24672.5,24803.0
2025-11-19 08:05:00+00:00,2025-11-19 08:06:00+00:00,24600.875,24597.75,bullish,-17.3,stop_loss,0.0,London AM,1,24593.125,24617.5
2025-11-21 08:22:00+00:00,2025-11-21 08:47:00+00:00,24106.875,24180.75,bullish,134.95,target,0.0,London AM,25,24078.125,24175.25
2025-11-21 19:02:00+00:00,2025-11-21 19:08:00+00:00,24482.125,24544.5,bullish,134.7,target,0.0,NY PM,6,24459.375,24550.375
2025-11-24 19:58:00+00:00,2025-11-24 20:02:00+00:00,24909.875,24926.0,bullish,29.45,target,0.0,NY PM,4,24903.125,24925.5
2025-11-25 08:02:00+00:00,2025-11-25 08:03:00+00:00,24913.375,24922.5,bullish,8.7,target,0.0,London AM,1,24911.625,24918.625
2025-11-25 15:50:00+00:00,2025-11-25 15:52:00+00:00,24807.75,24779.5,bullish,-59.8,stop_loss,0.0,NY AM,2,24778.75,24873.5
2025-11-27 08:44:00+00:00,2025-11-27 08:45:00+00:00,25316.625,25314.75,bullish,-8.3,stop_loss,0.0,London AM,1,25313.375,25326.0
2025-11-28 15:28:00+00:00,2025-11-28 15:30:00+00:00,25368.125,25369.75,bullish,-20.3,stop_loss,0.0,NY AM,2,25358.875,25391.25
2025-12-02 16:01:00+00:00,2025-12-02 16:02:00+00:00,25877.125,25909.75,bullish,38.7,target,0.0,NY AM,1,25870.375,25897.375
2025-12-03 15:23:00+00:00,2025-12-03 15:34:00+00:00,25760.25,25813.0,bullish,101.2,target,0.0,NY AM,11,25741.25,25811.75
2025-12-05 15:20:00+00:00,2025-12-05 15:21:00+00:00,26094.5,26094.25,bullish,-10.8,stop_loss,0.0,NY AM,1,26090.0,26108.0
2025-12-09 15:06:00+00:00,2025-12-09 15:09:00+00:00,25886.75,25874.5,bullish,-34.8,stop_loss,0.0,NY AM,3,25870.25,25922.75
2025-12-09 19:06:00+00:00,2025-12-09 19:08:00+00:00,25966.875,25956.0,bullish,-14.3,stop_loss,0.0,NY PM,2,25960.625,25985.625
